anio,numero,asignatura,tema,enunciado,opcion_1,opcion_2,opcion_3,opcion_4,respuesta_correcta
2018,45,Bioquímica y Biología Molecular,Metabolismo Energético,Conjunto de oligosacáridos unidos covalentemente a proteínas y lípidos de la membrana plasmática:,Glicocálix.,Lámina basal.,Matriz extracelular.,Mucina.,1
2018,46,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",El transporte de proteínas entre núcleo y citoplasma requiere de:,Gradiente de Na+ establecido por ATPasa- Na+/K+.,Gradiente de H+ establecido por la ATPasa- H+/K+.,Hidrólisis de ATP.,Hidrólisis de GTP.,4
2018,47,Biología Celular e Histología,Membrana y Tráfico,El receptor de la manosa-6-fosfato viaja desde el complejo de Golgi a:,Lisosomas.,Peroxisomas.,Endosomas.,Retículo endoplásmico.,3
2018,48,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",Lleva a cabo la ramificación de los filamentos de actina:,Centrosoma.,Complejo Arp2/3.,Formina.,Cofilina.,2
2018,49,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz","Durante la reptación celular, el frente de avance presenta:",Cilios.,Flagelos.,Estereocilios.,Lamelipodios.,4
2018,50,Bioquímica y Biología Molecular,Procesos Moleculares,"Durante la mitosis, tras el alineamiento cromosómico, se activa el complejo promotor de:",Fase M (MPF).,Anafase (APC).,Telofase (TPC).,Metafase (MPC).,2
2018,51,Fisiología y Anatomía,Endocrino y Reproductor,Los ovocitos del ovario de una niña prepuberal están en:,Profase I.,Profase II.,Metafase I.,Metafase II.,1
2018,52,Biología Celular e Histología,Histología Humana,Fina capa de matriz extracelular que separa los tejidos epitelial y conjuntivo:,Lámina basal.,Lámina propia.,Lámina elástica.,Glicocálix.,1
2018,53,Fisiología y Anatomía,Cardiovascular y Respiratorio,Célula adosada externamente al endotelio de capilares y vénulas:,Célula satélite.,Pericito.,Pituicito.,Pinealocito.,2
2018,54,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",La fibrilina es un componente de las fibras:,Colágenas.,Elásticas.,Reticulares.,Fibrina.,2
2018,55,Biología Celular e Histología,Histología Humana,Es un tejido avascular:,Conjuntivo laxo.,Adiposo.,Cartilaginoso.,Óseo.,3
2018,56,Biología Celular e Histología,Histología Humana,No abandona la médula ósea:,Eritrocito.,Monocito.,Megacariocito.,Linfocito.,3
2018,57,Biología Celular e Histología,Histología Humana,Pertenece al sistema fagocítico mononuclear:,Astrocito.,Oligodendrocito.,Célula de Schwam.,Microgliocito.,4
2018,58,Biología Celular e Histología,Histología Humana,Un epitelio simple siempre:,Está formado por células cúbicas.,Consta de un solo estrato celular.,Origina glándulas simples.,Está formado por células planas.,2
2018,59,Fisiología y Anatomía,Endocrino y Reproductor,Es una glándula compuesta la que presenta:,Varios tipos de células secretoras.,Adenómeros ramificados.,Conducto excretor ramificado.,Adenómeros y conductos excretores ramificados.,3
2018,60,Fisiología y Anatomía,Endocrino y Reproductor,¿Qué orgánulos están implicados en la síntesis de hormonas esteroideas?:,Retículo endoplasmático rugoso y Golgi.,Retículo endoplasmático rugoso y liso.,Retículo endoplasmático liso y Golgi.,Retículo endoplasmático liso y mitocondrias.,4
2018,61,Inmunología,Inmunidad Innata y Complemento,Es una célula secretora de histamina:,Célula cebada o mastocito.,Macrófago.,Linfocito activado.,Fibroblasto.,1
2018,62,Biología Celular e Histología,Histología Humana,Presenta colágeno de tipo I el cartílago:,Hialino.,Elástico.,Fibroso.,Todos los tipos de cartílagos.,3
2018,63,Biología Celular e Histología,Histología Humana,Las lagunas de Howship:,Contienen condrocitos en degeneración.,Albergan osteocitos.,Albergan células de revestimiento óseo.,Se forman por acción de los osteoclastos.,4
2018,64,Fisiología y Anatomía,Cardiovascular y Respiratorio,"Los miocitos cardíacos, a diferencia de otras células musculares, presentan:",Un solo núcleo.,Discos intercalares.,Una lámina externa que les rodea.,Miofilamentos organizados en sarcómeros.,2
2018,65,Fisiología y Anatomía,Sistema Nervioso y Sentidos,Las neuronas sensoriales de los ganglios espinales o raquídeos son:,Pseudounipolares.,Bipolares.,Multipolares.,Unipolares.,1
2018,66,Fisiología y Anatomía,Sistema Nervioso y Sentidos,En los nervios periféricos:,El endoneuro está formado por conjuntivo fibrilar denso.,El perineuro rodea a cada fibra nerviosa.,El epineuro rodea a cada fascículo de fibras nerviosas.,El perineuro actúa como una barrera hematoneural.,4
2018,67,Biología Celular e Histología,"Orgánulos, Citoesqueleto y Matriz",La matriz extracelular de la túnica media arterial:,Se sintetiza por miocitos lisos.,Contiene mayoritariamente colágeno en las grandes arterias.,Contiene principalmente láminas elásticas en las arterias de calibre medio.,Solo existe en la capa adventicia.,1
2018,68,Inmunología,Inmunidad Adaptativa,La pulpa blanca:,"Está en timo, ganglios linfáticos y bazo.",Corresponde al componente linfoide del bazo.,Está formada por cordones esplénicos (de Billroth) y sinusoides.,Forma los cordones medulares de los ganglios linfáticos.,2
2018,69,Fisiología y Anatomía,Endocrino y Reproductor,Las glándulas de Brunner son abundantes en:,Duodeno.,Yeyuno e íleon.,Todo el intestino delgado.,Intestino grueso.,1
2018,70,Fisiología y Anatomía,Endocrino y Reproductor,Gracias al sistema porta hipofisario:,Las hormonas sintetizadas por la adenohipófisis llegan a la circulación sistémica.,Las hormonas hipofisarias regulan la actividad hipotalámica.,Los factores reguladores hipotalámicos alcanzan la pars distalis hipofisaria.,La oxitocina y la ADH llegan a la neurohipófisis.,3
2018,71,Fisiología y Anatomía,Endocrino y Reproductor,En el sistema reproductor hay fuertes uniones ocluyentes entre:,Células de la granulosa del folículo ovárico.,El ovocito y la corona radiada.,Células de la teca interna del folículo ovárico.,Células de Sertoli de los túbulos seminíferos.,4
2018,72,Fisiología y Anatomía,Endocrino y Reproductor,Secreta gonadotropina coriónica humana:,Cuerpo lúteo.,Citotrofoblasto.,Sincitiotrofoblasto.,Decidua parietal.,3
2018,73,Estadística y Metodología,Bioestadística,La expresión de SRY y SOX9 median la diferenciación:,Ovárica.,Testicular.,Renal.,Vesical.,2
2018,74,Estadística y Metodología,Fiabilidad de Pruebas,La mayor sensibilidad a teratógenos durante el desarrollo intraútero es:,En fase de mórula.,En fase de implantación.,Entre la 3ª y 8ª semana de gestación.,A partir de la 37ª semana de gestación.,3
2018,75,Hematología,Fisiología y Patología Eritrocitaria,La hemoglobina fetal:,Posee 2 globinas alfa y 2 gamma.,Posee 2 globinas alfa y 2 épsilon.,Se sintetiza en el saco vitelino.,Tiene menor afinidad por O2 que la adulta.,1
2018,76,Inmunología,Inmunidad Innata y Complemento,Son células efectoras en las reacciones alérgicas:,Monocitos.,Basófilos.,Células dendríticas.,Neutrófilos.,2
2018,77,Genética,Mutaciones y Reparación del ADN,La hemoglobinuria paroxística nocturna se produce por mutaciones en el gen que codifica:,C1 inhibidor.,C2.,PIG-A (Phosphatidyl Inositol Glycan complementation group A).,MBL (Mannose-Binding Lectin).,3
2018,79,Inmunología,Inmunidad Innata y Complemento,¿Qué células del sistema inmunitario innato NO tienen origen mieloide?:,Células NK.,Mastocitos.,Neutrófilos.,Células dendríticas.,1
2018,80,Inmunología,Inmunidad Adaptativa,Los linfocitos B humanos circulantes expresan en su membrana:,IgM e IgD.,IgG e IgD.,IgG e IgM.,IgM e IgA.,1
2018,81,Inmunología,Inmunidad Adaptativa,En humanos las moléculas MHC están presentes en:,Todas las células.,Todas las células (MHC I) y solo en células presentadoras de antígeno (MHC II).,Todas las células salvo los hematíes (MHC I) y solo en células presentadoras de antígeno (MHC II).,Todas las células (MHC II) y sólo en células presentadoras de antígeno (MHC I).,3
2018,82,Inmunología,Inmunidad Adaptativa,"En ausencia de infección, las células presentadoras que presentan antígenos propios inducen:",Anergia clonal de los linfocitos T autoreactivos.,Proliferación de los linfocitos T autoreactivos.,Activación de las células presentadoras.,Activación de los linfocitos T autoreactivos.,1
2018,83,Inmunología,Inmunidad Innata y Complemento,El complemento se sintetiza fundamentalmente en:,Los linfocitos B.,Los mastocitos.,Los linfocitos T.,El hígado.,4
2018,84,Inmunología,Inmunidad Adaptativa,"Durante la respuesta inmunitaria primaria, se produce fundamentalmente:",IgM.,IgA.,IgE.,IgG.,1
2018,85,Inmunología,Inmunidad Adaptativa,Las células T vírgenes necesitan para una activación adecuada la unión TCR-péptido-MHC y una señal a través de:,CD28 por B7.1/B7.2.,LFA-1 por ICAM-1.,CD4 por MHC I.,CD8 por MHC II.,1
2018,86,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",El interferón beta:,Tiene actividad antiviral.,Tiene actividad citotóxica.,Induce fiebre.,Induce proteínas de fase aguda.,1
2018,87,Inmunología,Inmunidad Adaptativa,El mecanismo de evasión de la respuesta inmunitaria realizado por los virus ARN que justifica la necesidad de vacunación anual es:,La inhibición de la expresión de las moléculas MHC para evitar la presentación a los linfocitos T.,La inhibición del procesamiento antigénico por bloqueo de los transportadores TAP.,La variación antigénica.,La estimulación de la síntesis de citocinas inmunosupresoras.,3
2018,88,Inmunología,Inmunidad Adaptativa,Es un marcador común a todos los linfocitos T:,CD19.,CD8.,CD4.,CD3.,4
2018,89,Inmunología,Inmunidad Adaptativa,La hipermutación somática es un proceso que afecta a:,Receptores de las células T.,Células presentadores de antígenos.,Regiones variables de las inmunoglobulinas.,Receptores de reconocimiento de patógenos.,3
2018,90,Inmunología,Inmunidad Adaptativa,¿Cuál de los siguientes perfiles de producción de citocinas es característico de las células Th2?:,"IL-2, IFN-gamma.","IFN-alfa, IFN-beta, IFN-gamma.","IL-4, IL-5, IL-13.","IL-2, IL-10, IFN-beta.",3
2018,91,Inmunología,Inmunidad Adaptativa,¿Cómo se denomina a los antígenos que no son inmunógenos?:,Determinantes antigénicos.,Haptenos.,Epítopos.,Idiotipos.,2
2018,92,Inmunología,Inmunidad Innata y Complemento,¿Qué moléculas intervienen en la formación del complejo de ataque a membrana?:,"C5, C6, C7, C8 y C9.","Factor A, Factor B, Factor C y Properdina.","C1, C2, C4.","Factor B, C5, C1.",1
2018,93,Inmunología,Inmunidad Adaptativa,¿Cuál es el mecanismo por el que se genera la diversidad necesaria para conseguir anticuerpos de mayor afinidad?:,Exclusión alélica.,Hipermutación somática.,Recombinación somática.,Reordenamiento genético.,2
2018,94,Inmunología,Inmunidad Adaptativa,Un paciente sufre espondilitis anquilosante ¿Qué marcadores HLA será más probable que presente?:,Cw6.,DQ2 y DQ8.,B27.,DR2.,3
2018,95,Inmunología,Inmunidad Adaptativa,¿De qué molécula quimiotáctica lipídica depende la salida de los linfocitos T de los ganglios linfáticos?:,Molécula de adhesión celular portadora de glicano 1(GlyCam-1).,Molécula de adhesión celular vascular (VCAM-1).,Antígeno asociado a la función del leucocito (LFA-1).,Esfingosina 1-fostato (S1P).,4
2018,96,Inmunología,Inmunidad Adaptativa,¿Cuál es la función del TAP?:,Digestión de antígenos virales a pequeños péptidos en el proteosoma.,Transporte de péptidos antigénicos al retículo endoplásmico.,Transporte de las moléculas HLA-I al retículo endoplásmico.,Transporte de beta 2-microglobulina al retículo endoplásmico para ser combinado con moléculas HLA-I.,2
2018,97,Inmunología,Inmunidad Adaptativa,¿Cuál de las siguientes técnicas utilizaría para la cuantificación de anticuerpos?:,ELISA.,Western Blot.,Inmunohistoquímica.,Citometría de flujo.,1
2018,98,Inmunología,Inmunidad Adaptativa,La selección negativa de los linfocitos T tiene lugar en:,Vasos sanguíneos.,Médula ósea.,Timo.,Ganglio linfático.,3
2018,99,Inmunología,Inmunidad Adaptativa,El factor de transcripción nuclear Foxp3 se expresa en:,Linfocitos B.,Linfocitos Th2.,Linfocitos Treg.,Timocitos CD4+CD8+.,3
2018,100,Inmunología,Inmunidad Adaptativa,Se expresa en la superficie de los linfocitos CD4+:,CD3.,CD8.,CD19.,Receptor del linfocito B.,1
2018,101,Inmunología,Inmunidad Adaptativa,"El efecto anti-tumoral de los anticuerpos monoclonales anti-CTLA-4, anti-PD1 y anti-PD-L1 se basa en:",Inhibición de la autotolerancia de los linfocitos T.,Bloqueo del EGFR en la superficie de la célula tumoral.,Bloqueo del IL-2R.,Bloqueo de la angiogénesis en el tumor.,1
2018,102,Inmunología,Inmunidad Adaptativa,¿A qué se debe el rechazo hiperagudo del órgano trasplantado?:,Al reconocimiento de células del donante mediante los receptores KAR de los linfocitos NK.,A la existencia de linfocitos T vírgenes específicos contra el HLA del donante.,A la existencia de linfocitos T memoria específicos contra el HLA del donante.,A la existencia de anticuerpos preformados frente a las células del donante.,4
2018,103,Inmunología,Inmunidad Innata y Complemento,¿Para qué se utiliza el test de dilución de CFSE (Carboxyfluorescein Diacetate Succinimidyl Ester)?:,Estudio de la fagocitosis.,Estudio de la proliferación de los linfocitos T.,Valoración de la presencia de bandas monoclonales de IgG en líquido cefalorraquídeo.,Diagnóstico de linfoma policlonal de células T.,2
2018,104,Inmunología,Inmunidad Adaptativa,¿En qué gen esperarías encontrar una mutación en un paciente de 11 meses con infecciones graves desde el nacimiento y con ausencia de linfocitos T en sangre periférica?:,CD40L.,Btk.,IL-2R gamma.,ICOS.,3
2018,105,Inmunología,Inmunopatología,¿A qué tipo de hipersensibilidad corresponden las reacciones causadas por el depósito de inmunocomplejos?:,I.,II.,III.,IV.,3
2018,106,Estadística y Metodología,Bioestadística,Se toma una muestra aleatoria de 15 personas. Se pesan antes y al mes de iniciar cierta dieta ¿Qué test utilizaríamos para probar la hipótesis de que la dieta es efectiva?:,Wilcoxon.,Cochran.,Chi-cuadrado.,U de Mann-Whitney.,1
2018,107,Estadística y Metodología,Bioestadística,El error de tipo I es:,El error tipo beta.,La probabilidad de aceptar la hipótesis alternativa cuando es falsa.,La probabilidad de rechazar la hipótesis alternativa cuando es cierta.,La probabilidad de aceptar la hipótesis nula cuando es falsa.,2
2018,110,Estadística y Metodología,Epidemiología y Diseño de Estudios,¿Cuál es el tipo de error de muestreo que NO se reduce al aumentar el tamaño muestral?:,Aleatorio.,Sistemático.,Muestral.,Tipo II.,2
2018,111,Estadística y Metodología,Fiabilidad de Pruebas,Una prueba diagnóstica tiene una sensibilidad del 95% ¿Qué nos indica este resultado?:,El porcentaje de resultados positivos en pacientes que no padecen la enfermedad.,El porcentaje de resultados negativos en pacientes que no padecen la enfermedad.,La probabilidad de que la prueba identifique como enfermo a aquél que realmente lo está.,Que la prueba tendrá un máximo del 5% de falsos positivos.,3
2018,112,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",La expresión c.954T>G hace referencia a:,Una sustitución del nucleótido T en posición 954 de la secuencia codificante por una G.,Una sustitución del aminoácido T (treonina) en posición 954 de la cadena polipeptídica por un G (glicina).,Una inserción del nucleótido G a continuación del nucleótido T en posición 954 de la secuencia codificante.,Una sustitución del nucleótido T en posición 954 de la secuencia del gen por una G.,1
2018,113,Genética,Genética Mendeliana y Herencia,¿Qué fórmula cromosómica corresponde con el cariotipo de una paciente con síndrome de Turner?:,"45, X.","45, X, -X.","45, XX, -X.","45, XY, -Y.",1
2018,114,Bioquímica y Biología Molecular,Técnicas de Biología Molecular,Una reacción de PCR multiplex:,Se incorporan varios ADN genómicos para amplificarlos simultáneamente.,Se incorporan varias parejas de cebadores para amplificar loci distintos simultáneamente.,Se multiplican los ciclos.,Se incorporan varios ADN genómicos y varias parejas de cebadores para amplificarlos simultáneamente.,2
2018,116,Genética,Citogenética y Alteraciones Cromosómicas,¿Cuántas cromátidas hermanas presenta cada uno de los cromosomas de una célula humana?:,1 cromática si está en el fase G2.,2 cromátidas si está en fase G1.,1 cromátida si está en metafase meiótica.,1 cromátida si está en la fase G1.,4
2018,117,Biología Celular e Histología,"Ciclo Celular, Mitosis y Apoptosis",La intercinesis ocurre:,Justo antes de comenzar la mitosis.,Entre la meiosis I y la meiosis II.,En la fase intermedia de la anafase I.,Entre la mitosis y la meiosis.,2
2018,118,Genética,Genética Mendeliana y Herencia,Una microdeleción en el brazo largo del cromosoma 7 causa el síndrome de:,Williams.,Angelman.,Smith-Magenis.,Bloom.,1
2018,119,Genética,Citogenética y Alteraciones Cromosómicas,Cerca del telómero del brazo corto del cromosoma 3 se sitúa la región:,1p3.,3p12.,3p26.,5q3.,3
2018,121,Genética,Citogenética y Alteraciones Cromosómicas,¿Cuál de los siguientes cromosomas NO encontramos en el cariotipo humano normal?:,Metacéntricos.,Submetacéntricos.,Acrocéntricos.,Telocéntricos.,4
2018,123,Bioquímica y Biología Molecular,Procesos Moleculares,El ARN mensajero maduro se forma tras:,La eliminación de exones y empalme de intrones en el núcleo.,La eliminación de exones y empalme de intrones en el citoplasma.,La eliminación de intrones y empalme de exones.,El procesado y maduración del pre-ARN mensajero en el citoplasma.,3
2018,124,Bioquímica y Biología Molecular,Procesos Moleculares,En eucariotas los fragmentos de Okazaki presenta un número medio de nucleótidos entre:,10 y 20.,100 y 200.,1.000 y 2.000.,10.000 y 20.000.,2
2018,125,Genética,Mutaciones y Reparación del ADN,Mutaciones en genes supresores de tumores y protooncogenes aparecen:,Tanto en línea germinal como en línea somática.,Sólo en línea somática.,Sólo en línea germinal.,Solo en células del sistema inmune.,1
2018,126,Genética,Genética Mendeliana y Herencia,¿Qué genes son hemicigóticos en humanos?:,Todos los genes en cromosomas autosómicos.,Genes ligados al cromosoma X en mujeres.,Genes ligados al cromosoma X en hombres.,Todos los genes en cromosomas sexuales.,3
2018,127,Genética,Genética Mendeliana y Herencia,El mosaicismo consiste en la presencia de dos o más:,Poblaciones de células con distinto genotipo en un mismo individuo.,Mutaciones en un mismo gen de todas las células de un individuo.,Genes mutados en todas las células de un mismo individuo.,Cromosomas con alteraciones estructurales en todas las células de un mismo individuo.,1
2018,128,Genética,Genética Mendeliana y Herencia,¿Cuántos fenotipos distintos se esperan en la descendencia obtenida a partir del cruzamiento entre dos individuos heterocigóticos para dos loci entre los que existe una epistasia simple recesiva?:,1.,2.,3.,4.,3
2018,129,Genética,Genética Mendeliana y Herencia,La enfermedad de Tay-Sachs es una enfermedad de herencia:,Autosómica recesiva.,Autosómica dominante.,Recesiva ligada al cromosoma X.,Mitocondrial.,1
2018,130,Genética,Genética Mendeliana y Herencia,"El porcentaje de individuos de un genotipo particular que expresan el fenotipo asociado, se denomina:",Expresividad.,Penetrancia.,Incidencia.,Dominancia completa.,2
2018,131,Fisiología y Anatomía,Sistema Nervioso y Sentidos,"En el cruzamiento entre una mujer con visión normal para los colores, pero cuya madre era daltónica, y un varón que tiene daltonismo ¿Cuál es la probabilidad de que el primer hijo, que es varón, sea daltónico?:",1.,0.,½.,¼.,3
2018,132,Genética,Genética Mendeliana y Herencia,"El fenómeno en que el sexo del progenitor que transmite el alelo determina su expresión, se denomina:",Herencia influenciada por el sexo.,Herencia ligada al sexo.,Pseudodominancia.,Impronta.,4
2018,133,Genética,Citogenética y Alteraciones Cromosómicas,"En humanos, son compatibles con la vida las aneuploidias para los cromosomas:",21.,21 y 14.,"21, 13 y 18.",21 y 18.,3
2018,134,Genética,Genética de Poblaciones y Evolución,"En una población en equilibrio de Hardy- Weinberg para cierto locus, los apareamientos entre individuos se producen:",Siempre entre los que tienen el mismo genotipo.,En función de la eficacia biológica.,Siempre entre los que tiene distinto genotipo.,Al azar.,4
2018,135,Genética,Genética Mendeliana y Herencia,"Para un carácter cuantitativo, un valor alto de heredabilidad en sentido amplio (H2>0,85) indica que:",La variación fenotípica del carácter es debida principalmente a diferencias genotípicas entre individuos.,La variación fenotípica del carácter es debida principalmente a diferencias ambientales.,Tanto el genotipo como el ambiente influyen a partes iguales en la variación fenotípica.,"Hay un error en la estimación, ya que la heredabilidad tiene un valor máximo de 0,5.",1
2018,136,Bioquímica y Biología Molecular,Procesos Moleculares,El gen pax6 tiene una secuencia que codifica un homeodominio y su producto es:,Un factor de transcripción.,Un factor de iniciación de la traducción.,Un factor de terminación de la traducción.,"Un RNA de cadena larga, no codificante.",1
2018,137,Genética,Citogenética y Alteraciones Cromosómicas,¿Qué término se utiliza para un cromosoma en el que un brazo es delecionado y sustituido por la imagen especular del otro brazo?:,Translocación Robertsoniana.,Cromosoma Philadelphia.,Translocación recíproca.,Isocromosoma.,4
2018,138,Genética,Mutaciones y Reparación del ADN,¿Con qué tipo de defecto del sistema de reparación del DNA se asocia el trastorno xeroderma pigmentosum?:,Reparación de bases desapareadas.,Reparación por escisión de nucleótidos.,Reparación por escisión de bases.,Recombinación homóloga.,2
2018,139,Fisiología y Anatomía,Endocrino y Reproductor,¿Cuál de las siguientes afirmaciones es verdadera?:,"A lo largo de todo el desarrollo embrionario, en las células se inactiva indistintamente el cromosoma X paterno o materno.",La impronta génica materna de un locus significa que sólo las mujeres tendrán ese locus reprimido.,El patrón de metilación de una región improntada es diferente en el cromosoma paterno que en el materno.,La transcripción del gen XIST ocurre en el cromosoma X que no será inactivado.,3
2018,140,Bioquímica y Biología Molecular,Procesos Moleculares,¿Qué técnica utilizaría para conocer la secuencia de una región del DNA a la que se une un factor de transcripción?:,RNA-seq.,CHIP-seq.,Secuenciación masiva del genoma.,Secuenciación masiva del exoma.,2
2018,141,Bioquímica y Biología Molecular,Procesos Moleculares,La DNA polimerasa alfa:,Tiene una subunidad catalítica con actividad RNA polimerasa 5’-3’.,Tiene actividad exonucleasa 3’-5’.,Tiene alta procesividad.,"En ausencia de cebador, no puede polimerizar una cadena de nucleótidos.",1
2018,142,Bioquímica y Biología Molecular,Metabolismo Energético,Los carbonos anoméricos están en:,Aminoácidos.,Bases aromáticas de los nucleótidos.,Monosacáridos.,Ácidos grasos.,3
2018,143,Bioquímica y Biología Molecular,Metabolismo Energético,La fructosa es una:,Aldopentosa.,Aldohexosa.,Cetopentosa.,Cetohexosa.,4
2018,144,Bioquímica y Biología Molecular,Metabolismo Energético,¿Cuál de los siguientes azúcares es un disacárido?:,Glucosa.,Fructosa.,Sacarosa.,Amilosa.,3
2018,145,Bioquímica y Biología Molecular,Metabolismo Energético,Contiene(n) una única cadena de ácido graso en su estructura:,Triglicéridos.,Fosfoglicéridos.,Esfingolípidos.,Colesterol.,3
2018,146,Bioquímica y Biología Molecular,Metabolismo Energético,Es un ácido graso saturado:,Linolénico.,Esteárico.,Linoleico.,Oleico.,2
2018,147,Bioquímica y Biología Molecular,Metabolismo Energético,¿Qué vitamina es un tocoferol?:,A.,D.,E.,K.,3
2018,148,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",¿Cuántas zonas con poder tamponante presenta la glicina:,Una.,Dos.,Tres.,Cuatro.,2
2018,149,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",Los experimentos que demostraron que la secuencia de aminoácidos determina la estructura terciaria de las proteínas fueron los de:,Meselson y Stahl.,"Avery, MacLeod y McCarty.",Mitchell.,Anfinsen.,4
2018,150,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",La proteína más afectada en el escorbuto es:,Colágeno.,Queratina.,Albúmina.,Miosina.,1
2018,151,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",Informa sobre la afinidad de una enzima por su sustrato:,"Velocidad máxima, Vmax.","Número de recambio, Kcat.","Constante de Michaelis, Km.","Actividad Específica, A.E.",3
2018,152,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",La modificación covalente reversible más frecuente en la regulación enzimática es:,Metilación.,Acetilación.,Fosforilación.,Ubiquitinación.,3
2018,153,Bioquímica y Biología Molecular,Metabolismo Energético,Inhibe la glucólisis y activa la gluconeogénesis:,NAD.,Citrato.,Piruvato.,Glucosa-6-fosfato.,2
2018,154,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",La glucosa-6-fosfato deshidrogenasa:,Es una enzima de la glicólisis.,Fosforila la glucosa antes de entrar en la glicólisis.,Proporciona poder reductor en forma de NA- DPH.,Favorece la entrada de lactato al ciclo del ácido cítrico.,3
2018,155,Bioquímica y Biología Molecular,Metabolismo Energético,El glucógeno:,Se almacena principalmente en cerebro.,Presenta una estructura compuesta por amilosa y amilopectina poco ramificada.,Se almacena en vesículas asociadas a la membrana celular.,Se almacena en el hígado.,4
2018,156,Fisiología y Anatomía,Renal y Digestivo,Los cuerpos cetónicos son fuente de energía:,"En cerebro, durante un ayuno prolongado.",En los eritrocitos.,En todos los órganos menos en el riñón.,Solamente durante la normoglucemia.,1
2018,157,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",Presenta enlaces glucosídicos tipo alfa (1→4):,Celulosa.,Almidón.,Quitina.,Peptidoglucano.,2
2018,158,Genética,Mutaciones y Reparación del ADN,La osteogénesis imperfecta se origina mayoritariamente por mutaciones en los genes de las cadenas de:,Colágeno.,Elastina.,Queratina.,Fibrilina.,1
2018,159,Biología Celular e Histología,Histología Humana,Los plasmalógenos son:,Precursores inactivos de las proteínas plasmáticas.,Derivados vinil éter de los glicerofosfolípidos.,Un tipo de esfigonlípidos abundantes en el tejido nervioso.,Un tipo de esfingolípidos abundantes en el plasma sanguíneo.,2
2018,160,Bioquímica y Biología Molecular,Metabolismo Energético,¿Cuál de los siguientes fosfolípidos NO deriva del glicerol?:,Fosfatidilcolina.,Fosfatidilinositol.,Esfingomielina.,Cardiolipina.,3
2018,161,Fisiología y Anatomía,Endocrino y Reproductor,Pertenece a la familia de receptores de siete hélices transmembrana acoplados a proteína G:,El beta adrenérgico.,El de insulina.,El factor de crecimiento epidérmico.,El de estrógenos.,1
2018,162,Fisiología y Anatomía,Endocrino y Reproductor,El glucagón:,Se une a receptores de membrana ionotrópicos.,Inhibe la adenilato ciclasa hepática.,Activa la glucogenolisis hepática.,Disminuye la glucemia.,3
2018,163,Bioquímica y Biología Molecular,Metabolismo Energético,El argininsuccinato es un intermediario del ciclo de:,Krebs.,La urea.,Cori.,Glioxilato.,2
2018,165,Bioquímica y Biología Molecular,Metabolismo Energético,"Los ácidos grasos de cadena larga, una vez activados, son transportados al interior de la mitocondria unidos a:",Carnitina.,Carnosina.,Albúmina.,Tiamina.,1
2018,166,Fisiología y Anatomía,Cardiovascular y Respiratorio,El componente lipídico mayoritario del surfactante pulmonar es:,Fosfatidilglicerol.,Cardiolipina.,Dipalmitoil fosfatidilcolina.,Escualeno.,3
2018,167,Bioquímica y Biología Molecular,Procesos Moleculares,Es una base nitrogenada de tipo púrico:,Citosina.,Timina.,Adenina.,Uracilo.,3
2018,168,Bioquímica y Biología Molecular,Procesos Moleculares,La forma más estable del DNA es:,Forma A.,Forma B.,Forma Z.,DNA triplex.,2
2018,169,Bioquímica y Biología Molecular,Procesos Moleculares,Los promotores:,Son secuencias que regulan el fin de la transcripción en el ribosoma.,Son secuencia que regulan el inicio de la síntesis de DNA.,Son secuencias que dirigen la transcripción de un gen.,Son un grupo de proteínas activadores de la transcripción que regulan la expresión de genes.,3
2018,170,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",¿Cuál de las siguientes enzimas participa en la activación de los aminoácidos?:,Peptidasa señal.,Aminoacil tRNA sintetasa.,ARN polimerasa.,Ribozima.,2
2018,172,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos","En el operón lac, la proteína represora del catabolismo CRP/CAP:","Es una proteína de unión a DNA que, al unir cAMP, activa la transcripción del operón.",Es una proteína de unión a DNA que activa la transcripción cuando se una a alolactosa.,Se une a la región operadora del operón y reprime su transcripción.,Es un inhibidor alostérico de la betagalactosidasa.,1
2018,173,Bioquímica y Biología Molecular,"Proteínas, Enzimas y Aminoácidos",Los microRNAs:,Son RNAs pequeños que tras ser transcritos han de ser procesados tanto en el núcleo como en el citoplasma.,Se denominan también snRNAs.,"Son RNAs pequeños que ejecutan su acción directamente, sin la participación de proteínas.",Actúan generalmente a nivel de la transcripción de los genes a los que regulan.,1
